                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 1.1886,                 0.4669,                0.90955,                0.70826,                 0.5846,                0.61591,                0.37447,                 1.3366,                0.53342,                0.98112,             0.00070981,             0.00070981,             0.00070981
                     61,                  1.193,                0.46771,                0.91122,                0.70533,                0.54986,                0.59178,                0.36808,                 1.3392,                0.53616,                0.99139,             0.00069331,             0.00069331,             0.00069331
                     62,                 1.1851,                0.46414,                0.90977,                 0.7348,                0.56068,                0.59345,                0.37038,                 1.3666,                0.53669,                 1.0346,              0.0006768,              0.0006768,              0.0006768
                     63,                 1.1875,                0.46564,                0.90991,                0.70561,                 0.5475,                0.59936,                0.37253,                  1.341,                0.53699,                0.99811,              0.0006603,              0.0006603,              0.0006603
                     64,                  1.179,                0.46306,                0.90763,                0.78802,                0.57029,                0.61206,                0.36772,                 1.3416,                0.53062,                0.98894,              0.0006438,              0.0006438,              0.0006438
                     65,                  1.186,                0.46343,                0.90781,                 0.8007,                0.52726,                0.58603,                0.36448,                 1.3361,                0.53522,                0.98949,             0.00062729,             0.00062729,             0.00062729
                     66,                  1.172,                0.46071,                0.90679,                0.75476,                0.52703,                0.60535,                0.36094,                 1.3474,                0.53221,                0.99553,             0.00061079,             0.00061079,             0.00061079
                     67,                 1.1753,                 0.4609,                 0.9081,                0.77671,                0.58006,                0.62106,                0.37695,                 1.3415,                0.53574,                0.99041,             0.00059429,             0.00059429,             0.00059429
                     68,                 1.1738,                0.45802,                0.90609,                0.66832,                0.61384,                0.63007,                 0.3841,                 1.3398,                0.53399,                0.99354,             0.00057778,             0.00057778,             0.00057778
                     69,                 1.1756,                0.45871,                 0.9057,                0.78398,                0.56684,                 0.6263,                0.37795,                 1.3366,                0.52972,                0.98611,             0.00056128,             0.00056128,             0.00056128
                     70,                 1.1683,                0.45491,                0.90572,                0.83348,                0.55136,                0.62196,                0.38493,                  1.346,                0.53739,                0.98854,             0.00054478,             0.00054478,             0.00054478
                     71,                 1.1684,                  0.457,                0.90466,                0.74363,                0.58234,                0.61812,                0.38018,                 1.3279,                0.55324,                 0.9819,             0.00052827,             0.00052827,             0.00052827
                     72,                 1.1681,                0.45455,                0.90318,                0.79346,                0.58808,                0.62758,                 0.3823,                 1.3377,                0.52766,                0.98814,             0.00051177,             0.00051177,             0.00051177
                     73,                 1.1568,                0.45056,                0.90398,                 0.7019,                 0.6214,                0.63268,                0.39297,                  1.334,                0.52728,                0.98534,             0.00049527,             0.00049527,             0.00049527
                     74,                 1.1657,                0.45399,                0.90141,                0.79952,                0.57455,                0.63416,                0.37894,                 1.3383,                0.53023,                0.98355,             0.00047876,             0.00047876,             0.00047876
                     75,                 1.1612,                0.45561,                0.90603,                0.90429,                0.55779,                0.62641,                0.37391,                 1.3485,                 0.5296,                0.99782,             0.00046226,             0.00046226,             0.00046226
                     76,                 1.1592,                0.45033,                0.90336,                0.81195,                0.59754,                0.64067,                0.38782,                 1.3405,                0.52803,                0.98379,             0.00044576,             0.00044576,             0.00044576
                     77,                 1.1538,                0.44914,                0.90226,                0.79439,                0.57995,                0.61023,                 0.3688,                 1.3288,                0.53003,                0.98028,             0.00042925,             0.00042925,             0.00042925
                     78,                 1.1446,                0.44682,                0.90261,                0.91325,                0.54764,                0.63851,                0.39299,                 1.3369,                0.53308,                0.98411,             0.00041275,             0.00041275,             0.00041275
                     79,                 1.1507,                0.44691,                0.90272,                0.80235,                0.57516,                0.62928,                0.38491,                 1.3403,                0.53706,                0.98961,             0.00039625,             0.00039625,             0.00039625
                     80,                  1.152,                 0.4485,                0.89778,                 0.8586,                0.52619,                0.60027,                0.37335,                 1.3278,                0.51895,                0.98357,             0.00037974,             0.00037974,             0.00037974
                     81,                 1.1476,                0.44427,                0.90104,                0.82929,                0.57484,                0.64481,                 0.3972,                  1.341,                0.52283,                0.98221,             0.00036324,             0.00036324,             0.00036324
                     82,                 1.1445,                0.44492,                0.89886,                0.91341,                0.56905,                0.66274,                0.40733,                 1.3262,                0.52016,                 0.9823,             0.00034674,             0.00034674,             0.00034674
                     83,                 1.1473,                 0.4444,                0.89751,                0.76032,                0.62466,                0.64844,                0.39743,                 1.3296,                0.52766,                 0.9781,             0.00033023,             0.00033023,             0.00033023
                     84,                 1.1325,                0.43914,                0.89667,                0.78071,                0.59011,                0.64762,                0.39464,                 1.3312,                0.53064,                0.98422,             0.00031373,             0.00031373,             0.00031373
                     85,                 1.1356,                0.44038,                0.89747,                0.82262,                 0.5798,                0.64715,                0.40387,                 1.3271,                0.51246,                0.98218,             0.00029723,             0.00029723,             0.00029723
                     86,                 1.1398,                0.44202,                0.89641,                 0.8745,                0.57039,                0.64992,                0.40329,                 1.3409,                0.52464,                 0.9862,             0.00028072,             0.00028072,             0.00028072
                     87,                 1.1356,                0.44036,                0.89338,                0.74543,                  0.608,                0.63585,                 0.3947,                 1.3337,                0.52077,                0.98413,             0.00026422,             0.00026422,             0.00026422
                     88,                 1.1317,                0.43814,                0.89698,                0.84605,                0.55823,                0.63873,                0.39561,                 1.3353,                0.51566,                 0.9825,             0.00024772,             0.00024772,             0.00024772
                     89,                 1.1265,                0.43578,                 0.8934,                0.74174,                0.60763,                 0.6584,                0.39942,                 1.3366,                0.52006,                 0.9814,             0.00023121,             0.00023121,             0.00023121
                     90,                 1.1308,                0.43688,                0.89649,                0.77103,                0.62512,                0.66566,                0.39686,                 1.3313,                0.52355,                0.97886,             0.00021471,             0.00021471,             0.00021471
                     91,                 1.1029,                0.42545,                 0.9066,                0.72463,                0.61941,                0.65194,                 0.4138,                 1.2921,                0.51593,                 0.9804,             0.00019821,             0.00019821,             0.00019821
                     92,                 1.0867,                0.41737,                0.89958,                0.77127,                0.60577,                0.64581,                0.39896,                 1.2893,                0.51634,                0.98371,              0.0001817,              0.0001817,              0.0001817
                     93,                 1.0793,                0.41508,                0.90004,                0.75443,                0.62023,                0.65955,                0.40544,                  1.286,                0.51878,                0.97835,              0.0001652,              0.0001652,              0.0001652
                     94,                 1.0766,                0.41234,                 0.9012,                0.76538,                0.63051,                0.66289,                0.40633,                 1.2858,                0.51301,                0.97914,              0.0001487,              0.0001487,              0.0001487
                     95,                 1.0726,                 0.4111,                 0.8992,                0.92015,                0.60838,                0.67662,                0.41778,                 1.2873,                0.50955,                0.98262,             0.00013219,             0.00013219,             0.00013219
                     96,                 1.0674,                0.41055,                0.89938,                0.79864,                0.60917,                0.67096,                0.42232,                 1.2903,                0.50486,                0.98819,             0.00011569,             0.00011569,             0.00011569
                     97,                 1.0669,                0.40852,                0.89643,                  0.816,                0.61393,                0.66885,                0.40758,                 1.2915,                0.51711,                0.98598,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                 1.0654,                0.40873,                0.89407,                0.81654,                0.60649,                0.67555,                0.41635,                 1.2901,                 0.5148,                 0.9835,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                 1.0591,                0.40435,                0.89785,                0.79327,                0.60055,                0.67142,                0.41102,                 1.2901,                 0.5108,                0.98026,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                 1.0611,                0.40541,                0.89764,                0.84399,                0.59854,                0.67273,                0.41036,                 1.2909,                0.51091,                0.98302,             4.9677e-05,             4.9677e-05,             4.9677e-05
